TradeDate,Open,High,Low,ClosePrice,Volume,Ticker,Pct_Change,MA20,MA_Volume_30,RSI_14,Market_Regime
2025-02-13,37.9,38.9,37.9,38.75,4922700,VHM,1.97,39.25,3921606.67,41.19,SIDEWAY_ACCUMULATION
2025-02-13,37.9,38.9,37.9,38.75,4922700,VHM,1.97,39.25,3921606.67,41.19,SIDEWAY_ACCUMULATION
2025-02-14,38.95,39.05,38.75,38.8,4245600,VHM,0.13,39.19,3940096.67,42.07,SIDEWAY_ACCUMULATION
2025-02-14,38.95,39.05,38.75,38.8,4245600,VHM,0.13,39.19,3940096.67,42.07,SIDEWAY_ACCUMULATION
2025-02-14,38.95,39.05,38.75,38.8,4245600,VHM,0.13,39.19,3940096.67,42.07,SIDEWAY_ACCUMULATION
2025-02-17,38.8,39.15,38.7,38.8,4038700,VHM,0.0,39.13,3979813.33,42.07,SIDEWAY_ACCUMULATION
2025-02-17,38.8,39.15,38.7,38.8,4038700,VHM,0.0,39.13,3979813.33,42.07,SIDEWAY_ACCUMULATION
2025-02-17,38.8,39.15,38.7,38.8,4038700,VHM,0.0,39.13,3979813.33,42.07,SIDEWAY_ACCUMULATION
2025-02-18,38.9,39.2,38.85,38.9,3087100,VHM,0.26,39.08,3998840.0,44.03,SIDEWAY_ACCUMULATION
2025-02-18,38.9,39.2,38.85,38.9,3087100,VHM,0.26,39.08,3998840.0,44.03,SIDEWAY_ACCUMULATION
2025-02-18,38.9,39.2,38.85,38.9,3087100,VHM,0.26,39.08,3998840.0,44.03,SIDEWAY_ACCUMULATION
2025-02-19,39.15,39.15,38.8,39.1,2932700,VHM,0.51,39.03,3956866.67,47.82,SIDEWAY_ACCUMULATION
2025-02-19,39.15,39.15,38.8,39.1,2932700,VHM,0.51,39.03,3956866.67,47.82,SIDEWAY_ACCUMULATION
2025-02-19,39.15,39.15,38.8,39.1,2932700,VHM,0.51,39.03,3956866.67,47.82,SIDEWAY_ACCUMULATION
2025-02-20,39.2,40.8,39.15,40.55,11106700,VHM,3.71,39.06,4226760.0,65.86,EXPLOSION
2025-02-20,39.2,40.8,39.15,40.55,11106700,VHM,3.71,39.06,4226760.0,65.86,EXPLOSION
2025-02-20,39.2,40.8,39.15,40.55,11106700,VHM,3.71,39.06,4226760.0,65.86,EXPLOSION
2025-02-21,40.7,40.7,40.25,40.3,3893300,VHM,-0.62,39.07,4214233.33,61.89,SIDEWAY_NOISE
2025-02-21,40.7,40.7,40.25,40.3,3893300,VHM,-0.62,39.07,4214233.33,61.89,SIDEWAY_NOISE
2025-02-21,40.7,40.7,40.25,40.3,3893300,VHM,-0.62,39.07,4214233.33,61.89,SIDEWAY_NOISE
2025-02-24,40.1,40.3,39.95,40.25,4771900,VHM,-0.12,39.08,4262586.67,61.09,SIDEWAY_ACCUMULATION
2025-02-24,40.1,40.3,39.95,40.25,4771900,VHM,-0.12,39.08,4262586.67,61.09,SIDEWAY_ACCUMULATION
2025-02-24,40.1,40.3,39.95,40.25,4771900,VHM,-0.12,39.08,4262586.67,61.09,SIDEWAY_ACCUMULATION
